Height [mm],Pressure [Atm]
9.8,0.46774
10.2,0.46844
10.2,0.46864
10.5,0.46824
10.5,0.46944
10.4,0.46954
10.5,0.46944
10.6,0.46964
10.5,0.46964
10.6,0.46984
10.5,0.46884
10.5,0.46974
10.5,0.46854
10.6,0.46914
10.6,0.46874
10.5,0.46934
10.8,0.46924
11.1,0.46904
10.9,0.46894
11.1,0.46914
11.2,0.46884
11,0.46814
10.9,0.46854
11.2,0.46854
10.9,0.46844
10.7,0.46804
10.6,0.46864
10.9,0.46864
10.7,0.46824
10.9,0.46804
10.8,0.46844
10.9,0.46834
10.6,0.46844
10.6,0.46914
10.6,0.46854
10.7,0.46914
10.6,0.46894
10.4,0.46914
10.6,0.46904
10.4,0.46874
10.7,0.46854
10.9,0.46864
11.1,0.46834
11.1,0.46914
11,0.46864
10.9,0.46844
11.1,0.46774
11.1,0.46814
11.2,0.46854
11,0.46864
11.2,0.46764
11,0.46864
11.1,0.46864
11.4,0.46804
11.2,0.46864
11.1,0.46844
11.1,0.46854
11.1,0.46834
11.2,0.46914
11.6,0.46874
11.3,0.47834
11.6,0.51394
11.5,0.54684
11.7,0.56314
11.4,0.56284
11.7,0.55774
11.7,0.55424
11.7,0.55104
11.6,0.54784
11.5,0.54434
11.6,0.54304
11.5,0.54224
11.7,0.54314
11.7,0.54334
11.7,0.54454
11.6,0.54504
11.4,0.54514
11.7,0.54594
11.7,0.54534
11.7,0.54474
11.6,0.54484
11.6,0.54484
11.7,0.54514
11.7,0.54444
11.6,0.54504
11.7,0.54554
11.7,0.54474
11.6,0.54514
11.7,0.54504
11.9,0.54474
12.2,0.54444
11.8,0.54524
12,0.54504
11.6,0.54454
11.8,0.54484
11.7,0.54494
12.1,0.54504
12.1,0.54544
12.1,0.54494
12.1,0.54544
12,0.54584
12.2,0.54544
12.1,0.54564
12.2,0.54454
12,0.54444
12.1,0.54424
12.2,0.54394
12.1,0.54354
12.3,0.54354
12.2,0.54314
12.4,0.54324
12.3,0.54354
12.2,0.54414
12.2,0.54404
12.3,0.54484
12.2,0.54494
12.1,0.54504
12.2,0.54414
12,0.54444
12.2,0.54454
12.1,0.54344
12.2,0.54344
12.5,0.54294
12.3,0.54354
12,0.54334
12.1,0.54284
12.2,0.54284
12.2,0.54254
12.2,0.54334
12.2,0.54314
12.3,0.54354
12,0.54334
12.1,0.54454
12.2,0.54404
12.3,0.54454
12.2,0.54374
12.2,0.54494
12.2,0.54434
12.1,0.54444
12.3,0.54454
12.2,0.54344
12.2,0.54384
12.1,0.54424
12.3,0.54354
12.3,0.54414
12.4,0.54404
12.8,0.54424
12.8,0.54314
12.7,0.54414
12.8,0.54354
12.7,0.54384
12.7,0.54344
12.7,0.54344
12.7,0.54364
12.8,0.54334
12.7,0.54324
12.7,0.54334
12.9,0.54364
12.7,0.54344
12.8,0.54274
12.8,0.54334
12.7,0.54314
12.7,0.54314
12.7,0.54344
12.7,0.54374
12.7,0.54274
12.8,0.54394
12.8,0.54294
12.7,0.54334
12.9,0.54294
12.7,0.54314
12.7,0.54304
12.7,0.54334
12.7,0.54324
12.7,0.54324
12.8,0.54274
12.9,0.54374
12.7,0.54354
12.7,0.54334
12.8,0.54334
12.6,0.54344
12.8,0.54294
12.1,0.54344
12.3,0.54324
12.1,0.54414
12.2,0.54344
12.5,0.54394
12.2,0.54394
12.3,0.54484
12.4,0.54404
12.7,0.54394
12.7,0.54414
12.7,0.54434
12.7,0.54454
12.6,0.54424
12.3,0.54484
12.3,0.54514
12.2,0.54404
12.3,0.54454
12.2,0.54474
12.4,0.54534
12.5,0.54474
12.4,0.54444
12.4,0.54384
12.3,0.54474
12.4,0.54434
12.7,0.54364
12.7,0.54484
12.7,0.54454
12.9,0.54464
12.9,0.54364
12.7,0.54454
12.8,0.54484
12.7,0.54634
12.7,0.57484
12.8,0.61124
12.8,0.63514
12.8,0.63874
12.7,0.63544
12.9,0.63054
12.7,0.62804
12.6,0.62424
12.7,0.62034
12.8,0.61824
12.9,0.61784
12.8,0.61824
12.8,0.61834
12.8,0.61854
12.7,0.61974
12.8,0.61934
12.7,0.62054
12.6,0.61974
12.8,0.62054
13.2,0.62004
13.4,0.61964
13.2,0.61944
13.1,0.61804
12.8,0.61894
12.7,0.61854
13.2,0.61884
13.3,0.61854
13.4,0.61864
13.2,0.61954
13.4,0.61884
13.3,0.61884
13.3,0.61914
13.2,0.61894
13.4,0.61854
13.1,0.61964
13.3,0.61894
13.3,0.61944
13.3,0.61964
13.3,0.61974
13.4,0.61884
13.3,0.61994
13.1,0.61994
13.3,0.61974
13.4,0.61934
13.4,0.62014
13.5,0.61954
13.8,0.61884
13.6,0.61964
13.8,0.61944
13.8,0.61944
13.8,0.61944
13.4,0.61954
13.4,0.62014
13.3,0.61994
13.3,0.61934
13.4,0.61964
13.3,0.61934
13.3,0.61954
13.3,0.61964
13.4,0.61874
13.6,0.62024
13.9,0.61974
13.9,0.62014
13.8,0.61984
13.9,0.62034
13.8,0.61964
13.9,0.61954
13.9,0.61984
13.9,0.62034
13.9,0.61974
13.9,0.61984
14,0.62004
14,0.61924
14,0.62034
13.9,0.61994
13.9,0.61954
14,0.61994
14,0.61974
13.8,0.61934
13.8,0.61934
13.8,0.61994
13.9,0.61924
13.9,0.61834
13.8,0.61974
13.9,0.61954
14,0.61804
13.9,0.61884
13.9,0.61914
13.9,0.61914
13.9,0.61874
13.8,0.61824
13.9,0.61904
13.8,0.61894
13.8,0.61834
14,0.61864
13.9,0.61854
13.9,0.61924
13.8,0.61824
